,Title,Salary
334,Cyber Security GRC Specialist,
335,Brisbane QLD,Up to $150000.00 p.a. + + bonus + benefits
336,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,"$85,794 – $97,459 per year"
337,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,
338,Canberra ACT,"$85,794 – $97,459 per year"
339,"Head of IT, Cyber Security","Total remuneration package is up to $167,368 p.a"
340,"Head of IT, Cyber Security",
341,Bilinga,"Total remuneration package is up to $167,368 p.a"
342,Penetration Tester,
343,Penetration Tester,
344,Melbourne VIC,
345,Sign in,
346,Sign in,
347,All Brisbane QLD,
348,Project Manager - Electronic Security,
349,Project Manager - Electronic Security,
350,Brisbane QLD,
351,Senior Cyber Security Analyst,
352,Senior Cyber Security Analyst,
353,Perth WA,
354,Cyber Security Analyst,"$97,521 - $109,117 plus superannuation"
355,Cyber Security Analyst,
356,Bendigo,"$97,521 - $109,117 plus superannuation"
357,Junior Cyber Security Analyst,
358,Junior Cyber Security Analyst,
359,Perth WA,
360,Graduate (Network & Cyber Security),"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
361,Graduate (Network & Cyber Security),
362,East Perth,"Prof Level 2-4, SOA, $65,954 - $95,348 pa"
363,Cyber Security Analyst,
364,Cyber Security Analyst,
365,Perth WA,
366,Cyber Security Analyst,"$110,768 - $122,472 PA+super+financial benefits"
367,Cyber Security Analyst,
368,Toowoomba,"$110,768 - $122,472 PA+super+financial benefits"
369,Cyber Security Analyst,
370,Cyber Security Analyst,
371,Canberra ACT,
372,Cyber Security Analyst,$100k - $160k p.a. + Base Salary
373,Cyber Security Analyst,
374,Canberra ACT,$100k - $160k p.a. + Base Salary
375,Cyber security specialist,$52 - $55 p.h. + super
376,Cyber security specialist,
377,Cloverdale,$52 - $55 p.h. + super
378,Expressions of Interest - Cyber TSPV Professionals,110-160
379,Expressions of Interest - Cyber TSPV Professionals,
380,Canberra ACT,110-160
381,IT Cyber Security Officer,Top $'s Paid ! Contract extensions likely !
382,IT Cyber Security Officer,
383,Belmont,Top $'s Paid ! Contract extensions likely !
384,Cyber Security GRC Specialist - Remote,
385,Cyber Security GRC Specialist - Remote,
386,Perth WA,
387,Cyber Security Administrator,"12% Superannuation, flexible work options"
388,Cyber Security Administrator,
389,South Perth,"12% Superannuation, flexible work options"
390,Cyber Security Operations Analyst,
391,Cyber Security Operations Analyst,
392,Cleveland,
393,Cyber Security Uplift Technician,"90,000 - 150,000"
394,Cyber Security Uplift Technician,
395,Canberra ACT,"90,000 - 150,000"
396,Cyber Security Officer,$50 - $65 p.h.
397,Cyber Security Officer,
398,Belmont,$50 - $65 p.h.
399,Cyber Security GRC Specialist,
400,Cyber Security GRC Specialist,
401,Sydney NSW,
402,Cyber Security GRC Specialist,Up to $150000.00 p.a. + + bonus + benefits
403,Cyber Security GRC Specialist,
404,Brisbane QLD,Up to $150000.00 p.a. + + bonus + benefits
405,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,"$85,794 – $97,459 per year"
406,APS Level 6  - Splunk Assistant Administrator and Cyber Security Analyst,
407,Canberra ACT,"$85,794 – $97,459 per year"
408,"Head of IT, Cyber Security","Total remuneration package is up to $167,368 p.a"
409,"Head of IT, Cyber Security",
410,Bilinga,"Total remuneration package is up to $167,368 p.a"
411,Penetration Tester,
412,Penetration Tester,
413,Melbourne VIC,
